time,v
4.180000000000000000e+02,-8.742343139648437500e+01
4.190000000000000000e+02,-8.742420959472656250e+01
4.200000000000000000e+02,-8.742498016357421875e+01
4.210000000000000000e+02,-8.742574310302734375e+01
4.220000000000000000e+02,-8.742650604248046875e+01
4.230000000000000000e+02,-8.742726898193359375e+01
4.240000000000000000e+02,-8.742803192138671875e+01
4.250000000000000000e+02,-8.742879486083984375e+01
4.260000000000000000e+02,-8.742955780029296875e+01
4.270000000000000000e+02,-8.743032073974609375e+01
4.280000000000000000e+02,-8.743108367919921875e+01
4.290000000000000000e+02,-8.743184661865234375e+01
4.300000000000000000e+02,-8.743260955810546875e+01
4.310000000000000000e+02,-8.743337249755859375e+01
4.320000000000000000e+02,-8.743413543701171875e+01
4.330000000000000000e+02,-8.743489837646484375e+01
4.340000000000000000e+02,-8.743566131591796875e+01
4.350000000000000000e+02,-8.743642425537109375e+01
4.360000000000000000e+02,-8.743718719482421875e+01
4.370000000000000000e+02,-8.743795013427734375e+01
4.380000000000000000e+02,-8.743871307373046875e+01
4.390000000000000000e+02,-8.743947601318359375e+01
4.400000000000000000e+02,-8.744023895263671875e+01
4.410000000000000000e+02,-8.741419219970703125e+01
4.420000000000000000e+02,-8.741985321044921875e+01
4.430000000000000000e+02,-8.742458343505859375e+01
4.440000000000000000e+02,-8.742848968505859375e+01
4.450000000000000000e+02,-8.743172454833984375e+01
4.460000000000000000e+02,-8.743453979492187500e+01
4.470000000000000000e+02,-8.743682861328125000e+01
4.480000000000000000e+02,-8.743894958496093750e+01
4.490000000000000000e+02,-8.744047546386718750e+01
4.500000000000000000e+02,-8.744200134277343750e+01
4.510000000000000000e+02,-8.744352722167968750e+01
4.520000000000000000e+02,-8.744464874267578125e+01
4.530000000000000000e+02,-8.744541168212890625e+01
4.540000000000000000e+02,-8.744617462158203125e+01
4.550000000000000000e+02,-8.742040252685546875e+01
4.560000000000000000e+02,-8.742620849609375000e+01
4.570000000000000000e+02,-8.743107604980468750e+01
4.580000000000000000e+02,-8.743509674072265625e+01
4.590000000000000000e+02,-8.743843078613281250e+01
4.600000000000000000e+02,-8.744131469726562500e+01
4.610000000000000000e+02,-8.744360351562500000e+01
4.620000000000000000e+02,-8.744572448730468750e+01
4.630000000000000000e+02,-8.744725036621093750e+01
4.640000000000000000e+02,-8.744877624511718750e+01
4.650000000000000000e+02,-8.745030212402343750e+01
4.660000000000000000e+02,-8.745122528076171875e+01
4.670000000000000000e+02,-8.745198822021484375e+01
4.680000000000000000e+02,-8.745275115966796875e+01
4.690000000000000000e+02,-8.745351409912109375e+01
4.700000000000000000e+02,-8.745427703857421875e+01
4.710000000000000000e+02,-8.745503997802734375e+01
4.720000000000000000e+02,-8.745580291748046875e+01
4.730000000000000000e+02,-8.745656585693359375e+01
4.740000000000000000e+02,-8.745732879638671875e+01
4.750000000000000000e+02,-8.745809173583984375e+01
4.760000000000000000e+02,-8.745854949951171875e+01
4.770000000000000000e+02,-8.745891571044921875e+01
4.780000000000000000e+02,-8.745928955078125000e+01
4.790000000000000000e+02,-8.745965576171875000e+01
4.800000000000000000e+02,-8.746001434326171875e+01
4.810000000000000000e+02,-8.746037292480468750e+01
4.820000000000000000e+02,-8.746072387695312500e+01
4.830000000000000000e+02,-8.746107482910156250e+01
4.840000000000000000e+02,-8.746142578125000000e+01
4.850000000000000000e+02,-8.746176147460937500e+01
4.860000000000000000e+02,-8.746209716796875000e+01
4.870000000000000000e+02,-8.746243286132812500e+01
4.880000000000000000e+02,-8.746276855468750000e+01
4.890000000000000000e+02,-8.746308898925781250e+01
4.900000000000000000e+02,-8.746341705322265625e+01
4.910000000000000000e+02,-8.746372985839843750e+01
4.920000000000000000e+02,-8.746405029296875000e+01
4.930000000000000000e+02,-8.746436309814453125e+01
4.940000000000000000e+02,-8.746467590332031250e+01
4.950000000000000000e+02,-8.746498107910156250e+01
4.960000000000000000e+02,-8.746528625488281250e+01
4.970000000000000000e+02,-8.746559143066406250e+01
4.980000000000000000e+02,-8.746588897705078125e+01
4.990000000000000000e+02,-8.746617889404296875e+01
5.000000000000000000e+02,-8.746647644042968750e+01
5.010000000000000000e+02,-8.746676635742187500e+01
5.020000000000000000e+02,-8.746704864501953125e+01
5.030000000000000000e+02,-8.746732330322265625e+01
5.040000000000000000e+02,-8.746760559082031250e+01
5.050000000000000000e+02,-8.746788024902343750e+01
5.060000000000000000e+02,-8.746815490722656250e+01
5.070000000000000000e+02,-8.746842956542968750e+01
5.080000000000000000e+02,-8.746868896484375000e+01
5.090000000000000000e+02,-8.746895599365234375e+01
5.100000000000000000e+02,-8.746921539306640625e+01
5.110000000000000000e+02,-8.746947479248046875e+01
5.120000000000000000e+02,-8.746973419189453125e+01
5.130000000000000000e+02,-8.746998596191406250e+01
5.140000000000000000e+02,-8.747023010253906250e+01
5.150000000000000000e+02,-8.747047424316406250e+01
5.160000000000000000e+02,-8.747071838378906250e+01
5.170000000000000000e+02,-8.747096252441406250e+01
5.180000000000000000e+02,-8.747120666503906250e+01
5.190000000000000000e+02,-8.747144317626953125e+01
5.200000000000000000e+02,-8.747167968750000000e+01
5.210000000000000000e+02,-8.747190856933593750e+01
5.220000000000000000e+02,-8.747213745117187500e+01
5.230000000000000000e+02,-8.747235870361328125e+01
5.240000000000000000e+02,-8.747257995605468750e+01
5.250000000000000000e+02,-8.747280120849609375e+01
5.260000000000000000e+02,-8.744644927978515625e+01
5.270000000000000000e+02,-8.745178985595703125e+01
5.280000000000000000e+02,-8.745613861083984375e+01
5.290000000000000000e+02,-8.745973968505859375e+01
5.300000000000000000e+02,-8.743601226806640625e+01
5.310000000000000000e+02,-8.744344329833984375e+01
5.320000000000000000e+02,-8.744953155517578125e+01
5.330000000000000000e+02,-8.745450592041015625e+01
5.340000000000000000e+02,-8.745859527587890625e+01
5.350000000000000000e+02,-8.746193695068359375e+01
5.360000000000000000e+02,-8.746473693847656250e+01
5.370000000000000000e+02,-8.746702575683593750e+01
5.380000000000000000e+02,-8.746888732910156250e+01
5.390000000000000000e+02,-8.747041320800781250e+01
5.400000000000000000e+02,-8.747193908691406250e+01
5.410000000000000000e+02,-8.747284698486328125e+01
5.420000000000000000e+02,-8.747360992431640625e+01
5.430000000000000000e+02,-8.747437286376953125e+01
5.440000000000000000e+02,-8.747513580322265625e+01
5.450000000000000000e+02,-8.747589874267578125e+01
5.460000000000000000e+02,-8.747666168212890625e+01
5.470000000000000000e+02,-8.747711944580078125e+01
5.480000000000000000e+02,-8.747728729248046875e+01
5.490000000000000000e+02,-8.747746276855468750e+01
5.500000000000000000e+02,-8.747763824462890625e+01
5.510000000000000000e+02,-8.747780609130859375e+01
5.520000000000000000e+02,-8.747798156738281250e+01
5.530000000000000000e+02,-8.747814941406250000e+01
5.540000000000000000e+02,-8.747831726074218750e+01
5.550000000000000000e+02,-8.747847747802734375e+01
5.560000000000000000e+02,-8.747864532470703125e+01
5.570000000000000000e+02,-8.747880554199218750e+01
5.580000000000000000e+02,-8.747897338867187500e+01
5.590000000000000000e+02,-8.747913360595703125e+01
5.600000000000000000e+02,-8.747929382324218750e+01
5.610000000000000000e+02,-8.747945404052734375e+01
5.620000000000000000e+02,-8.747960662841796875e+01
5.630000000000000000e+02,-8.747976684570312500e+01
5.640000000000000000e+02,-8.747991943359375000e+01
