time,ci
3.760000000000000000e+02,1.240242943167686462e-01
3.770000000000000000e+02,1.239441260695457458e-01
3.780000000000000000e+02,1.238656863570213318e-01
3.790000000000000000e+02,1.237888932228088379e-01
3.800000000000000000e+02,1.237137168645858765e-01
3.810000000000000000e+02,1.236401572823524475e-01
3.820000000000000000e+02,1.235681399703025818e-01
3.830000000000000000e+02,1.234976500272750854e-01
3.840000000000000000e+02,1.234286278486251831e-01
3.850000000000000000e+02,1.233610659837722778e-01
3.860000000000000000e+02,1.232949197292327881e-01
3.870000000000000000e+02,1.232301741838455200e-01
3.880000000000000000e+02,1.231667622923851013e-01
3.890000000000000000e+02,1.231046468019485474e-01
3.900000000000000000e+02,1.230438724160194397e-01
3.910000000000000000e+02,1.229843720793724060e-01
3.920000000000000000e+02,1.229260787367820740e-01
3.930000000000000000e+02,1.228689849376678467e-01
3.940000000000000000e+02,1.228130459785461426e-01
3.950000000000000000e+02,1.227582842111587524e-01
3.960000000000000000e+02,1.227046698331832886e-01
3.970000000000000000e+02,1.226521730422973633e-01
3.980000000000000000e+02,1.226007714867591858e-01
3.990000000000000000e+02,1.225503459572792053e-01
4.000000000000000000e+02,1.225009411573410034e-01
4.010000000000000000e+02,1.224525645375251770e-01
4.020000000000000000e+02,1.224050521850585938e-01
4.030000000000000000e+02,1.223585903644561768e-01
4.040000000000000000e+02,1.223130151629447937e-01
4.050000000000000000e+02,1.222683116793632507e-01
4.060000000000000000e+02,1.222245395183563232e-01
4.070000000000000000e+02,1.221816539764404297e-01
4.080000000000000000e+02,1.221395805478096008e-01
4.090000000000000000e+02,1.220982223749160767e-01
4.100000000000000000e+02,1.220576912164688110e-01
4.110000000000000000e+02,1.220179796218872070e-01
4.120000000000000000e+02,1.219790726900100708e-01
4.130000000000000000e+02,1.219409555196762085e-01
4.140000000000000000e+02,1.219036281108856201e-01
4.150000000000000000e+02,1.218670606613159180e-01
4.160000000000000000e+02,1.218312531709671021e-01
4.170000000000000000e+02,1.217961534857749939e-01
4.180000000000000000e+02,1.217617988586425781e-01
4.190000000000000000e+02,1.217281147837638855e-01
4.200000000000000000e+02,1.216951087117195129e-01
4.210000000000000000e+02,1.216627508401870728e-01
4.220000000000000000e+02,1.216310486197471619e-01
4.230000000000000000e+02,1.215999498963356018e-01
4.240000000000000000e+02,1.215694993734359741e-01
4.250000000000000000e+02,1.215396746993064880e-01
4.260000000000000000e+02,1.215104609727859497e-01
4.270000000000000000e+02,1.214818209409713745e-01
4.280000000000000000e+02,1.214537099003791809e-01
4.290000000000000000e+02,1.214261502027511597e-01
4.300000000000000000e+02,1.213992014527320862e-01
4.310000000000000000e+02,1.213726848363876343e-01
4.320000000000000000e+02,1.213466897606849670e-01
4.330000000000000000e+02,1.213212832808494568e-01
4.340000000000000000e+02,1.212963536381721497e-01
4.350000000000000000e+02,1.212718412280082703e-01
4.360000000000000000e+02,1.212479621171951294e-01
4.370000000000000000e+02,1.212243661284446716e-01
4.380000000000000000e+02,1.212012842297554016e-01
4.390000000000000000e+02,1.211786568164825439e-01
4.400000000000000000e+02,1.211564019322395325e-01
4.410000000000000000e+02,1.211348250508308411e-01
4.420000000000000000e+02,1.211138963699340820e-01
4.430000000000000000e+02,1.210931316018104553e-01
4.440000000000000000e+02,1.210726797580718994e-01
4.450000000000000000e+02,1.210526525974273682e-01
4.460000000000000000e+02,1.210328266024589539e-01
4.470000000000000000e+02,1.210134029388427734e-01
4.480000000000000000e+02,1.209940984845161438e-01
4.490000000000000000e+02,1.209752187132835388e-01
4.500000000000000000e+02,1.209565922617912292e-01
4.510000000000000000e+02,1.209382936358451843e-01
4.520000000000000000e+02,1.209203973412513733e-01
4.530000000000000000e+02,1.209027022123336792e-01
4.540000000000000000e+02,1.208855360746383667e-01
4.550000000000000000e+02,1.208688169717788696e-01
4.560000000000000000e+02,1.208524331450462341e-01
4.570000000000000000e+02,1.208365932106971741e-01
4.580000000000000000e+02,1.208209395408630371e-01
4.590000000000000000e+02,1.208052858710289001e-01
4.600000000000000000e+02,1.207901313900947571e-01
4.610000000000000000e+02,1.207752153277397156e-01
4.620000000000000000e+02,1.207603290677070618e-01
4.630000000000000000e+02,1.207459196448326111e-01
4.640000000000000000e+02,1.207317635416984558e-01
4.650000000000000000e+02,1.207176074385643005e-01
4.660000000000000000e+02,1.207039952278137207e-01
4.670000000000000000e+02,1.206905841827392578e-01
4.680000000000000000e+02,1.206771731376647949e-01
4.690000000000000000e+02,1.206642985343933105e-01
4.700000000000000000e+02,1.206516399979591370e-01
4.710000000000000000e+02,1.206389665603637695e-01
4.720000000000000000e+02,1.206267327070236206e-01
4.730000000000000000e+02,1.206148117780685425e-01
4.740000000000000000e+02,1.206028759479522705e-01
4.750000000000000000e+02,1.205910071730613708e-01
4.760000000000000000e+02,1.205797493457794189e-01
4.770000000000000000e+02,1.205685660243034363e-01
4.780000000000000000e+02,1.205573901534080505e-01
4.790000000000000000e+02,1.205465346574783325e-01
4.800000000000000000e+02,1.205360889434814453e-01
4.810000000000000000e+02,1.205256432294845581e-01
4.820000000000000000e+02,1.205152347683906555e-01
4.830000000000000000e+02,1.205051466822624207e-01
4.840000000000000000e+02,1.204953938722610474e-01
4.850000000000000000e+02,1.204856932163238525e-01
4.860000000000000000e+02,1.204760298132896423e-01
4.870000000000000000e+02,1.204664930701255798e-01
4.880000000000000000e+02,1.204572468996047974e-01
4.890000000000000000e+02,1.204482689499855042e-01
4.900000000000000000e+02,1.204393133521080017e-01
4.910000000000000000e+02,1.204304248094558716e-01
4.920000000000000000e+02,1.204215288162231445e-01
4.930000000000000000e+02,1.204128563404083252e-01
4.940000000000000000e+02,1.204041242599487305e-01
4.950000000000000000e+02,1.203955486416816711e-01
4.960000000000000000e+02,1.203873455524444580e-01
4.970000000000000000e+02,1.203791573643684387e-01
4.980000000000000000e+02,1.203709840774536133e-01
4.990000000000000000e+02,1.203627809882164001e-01
5.000000000000000000e+02,1.203548535704612732e-01
5.010000000000000000e+02,1.203473582863807678e-01
5.020000000000000000e+02,1.203399002552032471e-01
5.030000000000000000e+02,1.203324347734451294e-01
5.040000000000000000e+02,1.203249841928482056e-01
5.050000000000000000e+02,1.203175336122512817e-01
5.060000000000000000e+02,1.203105449676513672e-01
5.070000000000000000e+02,1.203038170933723450e-01
5.080000000000000000e+02,1.202971041202545166e-01
5.090000000000000000e+02,1.202903911471366882e-01
5.100000000000000000e+02,1.202836707234382629e-01
5.110000000000000000e+02,1.202769577503204346e-01
5.120000000000000000e+02,1.202705129981040955e-01
5.130000000000000000e+02,1.202645003795623779e-01
5.140000000000000000e+02,1.202585175633430481e-01
5.150000000000000000e+02,1.202525421977043152e-01
5.160000000000000000e+02,1.202465817332267761e-01
5.170000000000000000e+02,1.202405989170074463e-01
5.180000000000000000e+02,1.202346384525299072e-01
5.190000000000000000e+02,1.202287152409553528e-01
5.200000000000000000e+02,1.202233284711837769e-01
5.210000000000000000e+02,1.202180907130241394e-01
5.220000000000000000e+02,1.202128678560256958e-01
5.230000000000000000e+02,1.202076375484466553e-01
5.240000000000000000e+02,1.202024221420288086e-01
5.250000000000000000e+02,1.201971918344497681e-01
5.260000000000000000e+02,1.201923564076423645e-01
5.270000000000000000e+02,1.201878935098648071e-01
5.280000000000000000e+02,1.201834082603454590e-01
5.290000000000000000e+02,1.201789230108261108e-01
5.300000000000000000e+02,1.201745122671127319e-01
5.310000000000000000e+02,1.201701909303665161e-01
5.320000000000000000e+02,1.201657131314277649e-01
5.330000000000000000e+02,1.201612278819084167e-01
5.340000000000000000e+02,1.201567500829696655e-01
5.350000000000000000e+02,1.201522648334503174e-01
5.360000000000000000e+02,1.201477944850921631e-01
5.370000000000000000e+02,1.201433688402175903e-01
5.380000000000000000e+02,1.201394200325012207e-01
5.390000000000000000e+02,1.201353967189788818e-01
5.400000000000000000e+02,1.201315596699714661e-01
5.410000000000000000e+02,1.201277673244476318e-01
5.420000000000000000e+02,1.201239675283432007e-01
5.430000000000000000e+02,1.201202198863029480e-01
5.440000000000000000e+02,1.201164871454238892e-01
5.450000000000000000e+02,1.201127469539642334e-01
5.460000000000000000e+02,1.201090067625045776e-01
5.470000000000000000e+02,1.201052665710449219e-01
5.480000000000000000e+02,1.201015263795852661e-01
5.490000000000000000e+02,1.200977489352226257e-01
5.500000000000000000e+02,1.200939714908599854e-01
5.510000000000000000e+02,1.200902611017227173e-01
5.520000000000000000e+02,1.200865432620048523e-01
5.530000000000000000e+02,1.200828924775123596e-01
5.540000000000000000e+02,1.200792193412780762e-01
5.550000000000000000e+02,1.200755313038825989e-01
5.560000000000000000e+02,1.200718507170677185e-01
5.570000000000000000e+02,1.200681701302528381e-01
5.580000000000000000e+02,1.200644373893737793e-01
5.590000000000000000e+02,1.200607120990753174e-01
5.600000000000000000e+02,1.200569868087768555e-01
5.610000000000000000e+02,1.200532466173171997e-01
5.620000000000000000e+02,1.200495213270187378e-01
5.630000000000000000e+02,1.200458332896232605e-01
5.640000000000000000e+02,1.200424879789352417e-01
5.650000000000000000e+02,1.200393959879875183e-01
5.660000000000000000e+02,1.200363934040069580e-01
5.670000000000000000e+02,1.200333982706069946e-01
5.680000000000000000e+02,1.200304031372070312e-01
5.690000000000000000e+02,1.200274080038070679e-01
5.700000000000000000e+02,1.200244203209877014e-01
5.710000000000000000e+02,1.200214400887489319e-01
5.720000000000000000e+02,1.200184449553489685e-01
5.730000000000000000e+02,1.200154572725296021e-01
5.740000000000000000e+02,1.200124695897102356e-01
5.750000000000000000e+02,1.200094819068908691e-01
5.760000000000000000e+02,1.200065016746520996e-01
5.770000000000000000e+02,1.200038418173789978e-01
5.780000000000000000e+02,1.200015768408775330e-01
5.790000000000000000e+02,1.199993342161178589e-01
5.800000000000000000e+02,1.199970692396163940e-01
5.810000000000000000e+02,1.199947968125343323e-01
